Z1 , Z2
 2.39+0.54i,3.05+9.29i
 2.53+1.89i,1.66+3.56i
 3.04+8.60i,8.98+5.92i
 7.20+1.16i,5.80+8.67i
 3.52+9.39i,6.98+9.01i
 8.11+6.16i,8.91+6.71i
 7.28+6.71i,6.61+0.45i
 1.20+2.40i,1.58+4.53i
 6.27+3.50i,7.11+5.63i
 5.94+5.33i,7.27+8.27i
 7.95+5.31i,4.42+5.16i
 0.06+5.15i,9.24+6.01i
 0.97+6.61i,1.03+3.24i
 1.08+9.36i,2.81+0.15i
 7.10+2.16i,9.05+9.73i
 7.81+7.20i,7.91+1.69i
 8.65+8.27i,5.36+7.28i
 1.25+3.84i,1.67+9.49i
 4.76+0.46i,5.76+6.66i
 4.67+5.20i,3.84+9.91i
 2.10+2.58i,2.11+7.44i
 5.18+7.18i,9.34+8.25i
 7.67+6.89i,8.18+0.14i
 8.25+9.18i,0.28+0.29i
 0.34+7.27i,2.40+7.54i
 5.40+3.96i,9.35+0.83i
 0.48+8.65i,0.11+2.52i
 0.64+8.76i,2.37+6.75i
 2.45+7.10i,4.15+1.92i
 7.10+7.47i,0.37+2.99i
 4.47+7.15i,6.93+5.79i
 1.29+1.64i,9.79+5.01i
 5.25+2.89i,9.58+0.33i
 8.00+0.89i,6.70+2.17i
 8.46+0.38i,5.43+3.38i
 9.36+3.21i,7.19+4.96i
 2.47+7.88i,3.59+9.87i
 0.35+2.35i,9.12+6.84i
 9.89+7.84i,7.34+6.67i
 5.19+6.15i,0.45+9.76i
 6.61+8.25i,8.19+6.31i
 9.03+6.98i,7.98+6.39i
 0.04+5.03i,6.79+7.65i
 3.91+1.07i,9.24+3.65i
 1.21+4.54i,1.06+4.50i
 7.03+8.32i,0.32+1.41i
 6.54+9.77i,2.17+9.00i
 2.89+4.65i,7.47+6.22i
 8.79+3.17i,5.16+0.48i
 7.62+0.29i,0.39+7.08i
 9.03+6.57i,7.61+7.52i
 4.66+6.21i,5.57+9.96i
 9.55+9.30i,4.94+5.55i
 2.21+3.12i,2.93+4.27i
 2.32+4.44i,7.91+1.98i
 1.52+8.56i,5.70+3.03i
 4.39+9.14i,7.99+7.66i
 8.35+9.21i,0.43+7.52i
 0.86+7.19i,1.50+4.10i
 6.23+6.69i,6.05+9.43i
 3.11+4.31i,9.92+8.16i
 6.99+9.71i,6.39+3.70i
 8.36+8.91i,8.57+8.33i
 3.28+1.77i,4.10+6.83i
 1.76+4.89i,0.91+4.34i
 7.11+9.04i,0.26+8.91i
 7.90+5.22i,3.64+8.90i
 8.84+8.13i,4.41+1.27i
 1.79+7.84i,5.37+8.70i
 5.61+5.81i,1.65+8.02i
 7.32+3.32i,8.54+7.59i
 8.47+3.77i,4.62+0.10i
 8.19+1.50i,3.77+9.41i
 8.36+7.20i,2.99+1.12i
 7.59+9.56i,3.90+1.52i
 0.48+0.14i,0.44+9.18i
 1.50+1.01i,2.95+8.21i
 7.31+5.01i,2.45+9.61i
 0.57+5.10i,9.28+8.05i
 1.73+1.37i,6.69+0.96i
 5.03+4.21i,6.75+5.18i
 3.00+4.89i,2.62+0.54i
 2.63+6.43i,8.89+2.50i
 7.35+4.15i,3.64+4.94i
 9.63+7.58i,6.52+0.92i
 3.16+7.14i,4.20+0.60i
 4.50+3.68i,7.41+8.47i
 1.96+7.87i,5.01+2.34i
 1.28+5.71i,4.48+8.75i
 2.53+8.71i,3.29+2.93i
 7.19+4.71i,8.20+7.64i
 0.79+6.30i,4.10+0.80i
 1.13+3.42i,1.38+3.82i
 0.44+8.28i,3.93+5.75i
 9.80+0.00i,5.96+9.47i
 3.70+0.87i,5.43+7.33i
 8.52+2.61i,8.24+4.00i
 3.80+7.78i,8.57+4.23i
 4.98+0.14i,8.45+6.62i
 5.09+6.10i,8.49+2.18i
 2.90+0.55i,7.43+5.55i
 3.85+5.34i,2.75+3.21i
 1.51+2.26i,2.51+4.59i
 7.83+7.14i,4.37+8.79i
 6.98+1.00i,1.37+2.85i
 8.78+2.84i,3.42+9.15i
 9.60+0.67i,1.40+7.07i
 5.66+7.28i,5.62+3.63i
 9.69+8.90i,6.23+2.78i
 3.13+7.61i,0.10+8.40i
 9.78+0.00i,3.94+5.07i
 6.56+5.51i,7.86+4.31i
 5.44+7.39i,7.76+5.84i
 2.52+1.08i,5.14+4.54i
 0.19+0.28i,6.71+3.70i
 6.63+9.47i,0.24+5.43i
 8.54+0.08i,9.81+5.52i
 2.88+1.63i,3.59+0.19i
 3.79+3.56i,4.61+4.87i
 3.53+8.99i,7.88+2.44i
 8.80+4.66i,2.83+2.74i
 2.36+9.09i,5.67+8.34i
 9.39+6.84i,6.51+5.49i
 2.66+4.67i,1.10+5.89i
 3.27+7.73i,5.81+2.95i
 9.36+8.74i,4.35+2.31i
 9.72+0.28i,7.98+0.70i
 5.87+2.97i,0.89+6.46i
 0.90+1.11i,6.12+4.63i
 1.12+7.81i,9.51+2.30i
 3.21+2.13i,1.28+9.50i
 6.00+9.59i,7.54+9.92i
 1.94+3.30i,6.32+5.59i
 7.77+7.79i,6.32+2.72i
 3.83+0.81i,1.53+6.22i
 5.21+9.56i,8.18+5.91i
 9.00+1.96i,1.20+7.04i
 5.99+1.29i,1.44+1.75i
 8.70+4.16i,5.99+0.80i
 6.18+2.88i,4.52+1.28i
 8.00+6.62i,8.40+1.49i
 3.85+5.83i,5.15+6.59i
 8.78+9.59i,5.61+3.82i
 0.48+0.54i,4.40+3.81i
 7.70+0.28i,2.51+5.44i
 8.69+5.95i,4.69+7.10i
 1.72+9.23i,1.25+2.19i
 8.50+4.31i,2.43+8.46i
 8.69+6.70i,3.94+6.10i
 3.92+0.64i,5.24+3.61i
 5.19+6.20i,5.62+6.61i
 7.25+4.34i,9.49+0.90i
 3.22+2.60i,0.93+9.28i
 1.22+3.81i,3.66+4.68i
 0.23+7.22i,6.39+5.17i
 7.93+3.64i,1.78+9.56i
 7.71+3.41i,3.55+8.36i
 4.89+7.28i,1.20+9.02i
 3.12+6.16i,3.47+9.46i
 8.51+6.72i,8.11+5.23i
 7.36+6.05i,6.07+6.33i
 8.66+5.53i,4.12+9.25i
 0.40+1.53i,2.57+7.33i
 2.95+1.39i,2.51+2.58i
 6.94+1.60i,1.38+9.29i
 8.75+5.98i,2.92+6.33i
 5.62+2.76i,2.36+6.46i
 8.73+4.64i,4.84+1.92i
 1.19+8.42i,3.28+8.59i
 2.62+1.45i,7.16+1.27i
 1.72+7.48i,0.00+3.70i
 3.98+2.92i,5.45+9.28i
 3.00+1.43i,1.92+5.63i
 7.83+2.72i,8.01+0.09i
 2.21+4.86i,5.13+7.69i
 5.31+3.57i,8.19+4.86i
 8.56+8.16i,2.54+7.54i
 8.14+6.15i,5.37+9.66i
 2.97+8.77i,7.60+4.12i
 1.91+2.31i,1.74+4.63i
 8.77+3.24i,7.84+8.33i
 7.50+5.27i,9.99+4.29i
 6.09+1.44i,3.64+4.51i
 8.12+9.79i,1.34+4.07i
 5.83+6.00i,2.59+3.10i
 7.53+8.91i,3.21+2.25i
 2.53+9.29i,0.96+5.53i
 6.61+8.58i,4.91+9.63i
 9.20+7.68i,6.87+5.26i
 4.72+2.19i,6.41+2.04i
 9.51+0.92i,4.45+3.70i
 4.74+9.62i,1.76+3.17i
 8.26+4.13i,3.44+5.71i
 9.79+0.35i,1.29+2.88i
 8.48+9.78i,6.17+7.23i
 8.38+5.08i,9.29+9.26i
 9.68+8.06i,1.99+2.55i
 8.29+2.76i,4.88+8.96i
 8.19+8.64i,1.37+4.16i
 3.18+4.91i,6.83+3.98i
 1.20+7.48i,9.61+6.51i
 0.18+9.77i,9.46+6.61i
 4.78+2.28i,0.63+2.35i
 5.06+3.08i,9.68+6.79i
 1.19+3.23i,6.77+3.92i
 9.53+9.78i,8.53+2.95i
 2.71+4.75i,2.04+9.62i
 0.32+8.19i,5.31+0.35i
 4.68+4.68i,6.10+2.34i
 2.70+7.78i,2.65+0.45i
 2.79+0.75i,3.27+6.87i
 3.63+0.37i,7.66+5.34i
 0.83+6.75i,1.84+5.55i
 1.56+3.99i,6.64+0.93i
 8.86+6.33i,9.24+0.47i
 1.94+3.30i,7.67+6.65i
 9.10+6.82i,8.05+3.14i
 6.52+2.41i,5.85+5.91i
 8.06+7.60i,9.60+9.12i
 4.03+4.30i,0.85+2.00i
 5.85+4.67i,4.84+9.88i
 2.00+6.86i,1.00+4.95i
 1.99+1.02i,4.28+1.83i
 9.17+1.36i,8.02+4.89i
 5.78+7.25i,7.89+7.22i
 5.95+6.05i,3.19+6.91i
 7.21+7.74i,5.14+8.62i
 7.06+2.83i,6.26+4.19i
 8.01+3.30i,6.44+3.75i
 2.58+4.62i,1.31+7.36i
 7.20+3.08i,0.24+9.47i
 5.08+4.11i,3.97+0.00i
 3.14+8.96i,9.99+6.45i
 5.33+9.62i,5.39+7.54i
 8.21+2.86i,5.36+0.10i
 6.62+1.73i,4.93+6.35i
 9.88+5.71i,8.38+8.21i
 8.91+4.13i,5.60+9.57i
 0.92+7.43i,7.75+7.68i
 4.13+4.15i,6.36+8.91i
 3.47+3.69i,8.32+1.34i
 9.28+1.43i,8.79+9.06i
 0.54+8.07i,5.37+2.03i
 4.21+4.47i,0.34+9.49i
 4.16+7.59i,9.38+5.50i
 1.83+1.86i,0.96+6.85i
 5.24+9.22i,3.63+1.81i
 0.12+2.51i,2.02+4.95i
 5.36+4.54i,2.08+9.80i
 0.31+8.30i,0.95+7.14i
 1.12+1.36i,9.37+0.09i
 6.85+9.19i,3.81+6.10i
 9.08+6.09i,4.39+8.67i
 1.19+2.66i,9.99+5.20i
 5.15+5.77i,9.22+1.42i
 9.80+8.81i,8.85+0.30i
 3.25+4.36i,9.94+9.45i
 6.02+2.33i,4.80+4.56i
 8.34+5.17i,8.81+7.81i
 4.58+8.05i,9.92+1.60i
 6.51+2.01i,5.42+9.44i
 6.35+5.55i,8.72+4.43i
 3.22+0.13i,4.41+7.81i
 7.79+5.18i,1.60+7.29i
 9.55+0.82i,3.64+0.32i
 3.13+1.95i,3.28+5.04i
 8.55+7.11i,8.81+6.10i
 9.04+5.51i,6.16+7.61i
 8.64+4.05i,1.22+1.13i
 9.43+6.36i,1.18+9.94i
 1.88+7.43i,6.39+5.02i
 3.43+0.70i,2.19+2.12i
 3.17+9.32i,7.82+0.97i
 8.59+0.73i,5.90+8.19i
 0.10+9.11i,0.15+9.78i
 5.42+0.45i,2.70+5.62i
 0.08+9.83i,0.99+7.09i
 2.13+5.50i,9.51+6.65i
 5.02+6.17i,9.53+2.99i
 9.16+5.84i,8.69+4.42i
 5.03+5.15i,3.29+2.57i
 3.82+2.64i,3.52+1.54i
 5.26+0.27i,7.55+2.59i
 9.52+3.86i,4.22+1.29i
 7.86+5.49i,8.79+1.98i
 8.90+6.03i,6.86+4.43i
 8.27+5.85i,1.98+5.87i
 8.17+0.31i,4.76+4.61i
 5.63+2.14i,3.83+8.32i
 7.22+5.11i,7.91+8.71i
 1.42+7.33i,5.53+0.30i
 3.80+7.04i,9.15+8.87i
 1.10+6.81i,5.58+7.86i
 4.33+0.40i,6.59+9.36i
 5.62+9.38i,7.54+5.26i
 5.26+7.12i,5.95+6.21i
 1.77+3.41i,1.58+0.54i
 0.20+1.97i,7.27+4.51i
 4.62+3.32i,9.37+8.04i
 0.57+4.05i,9.07+9.43i
 2.58+5.39i,3.43+6.97i
 2.81+9.65i,4.57+6.05i
 1.17+4.12i,6.24+1.84i
 4.59+2.99i,2.16+7.40i
 8.51+8.46i,9.22+8.93i
 6.15+0.49i,3.61+6.49i
 2.31+7.96i,1.23+6.96i
 4.44+2.50i,2.38+4.31i
 3.59+9.35i,2.65+8.01i
 3.87+4.37i,9.48+1.20i
 4.24+8.94i,7.75+9.03i
 9.89+2.86i,8.45+1.43i
 2.57+3.32i,2.61+5.78i
 1.04+2.02i,0.31+2.20i
 6.86+6.30i,6.43+3.67i
 6.48+8.44i,3.17+7.49i
 1.25+2.73i,8.63+4.16i
 6.80+3.48i,9.79+9.57i
 8.14+7.05i,1.89+3.07i
 9.05+5.27i,6.14+7.15i
 3.08+8.97i,4.49+4.95i
 0.29+0.26i,8.66+3.98i
 9.85+6.62i,5.18+8.53i
 5.79+2.03i,3.83+7.23i
 5.59+2.21i,1.74+0.34i
 6.75+7.02i,4.36+2.79i
 9.15+7.50i,0.13+8.50i
 4.92+9.48i,0.83+9.81i
 8.47+2.08i,7.06+1.78i
 3.06+2.67i,1.14+9.10i
 4.70+3.58i,6.17+9.46i
 3.04+6.56i,6.63+6.37i
 8.98+7.34i,6.56+5.08i
 0.12+1.13i,2.80+7.24i
 1.04+6.13i,0.73+9.62i
 9.79+3.77i,2.69+1.47i
 6.31+7.53i,6.33+7.39i
 5.20+1.94i,5.97+4.24i
 8.71+9.58i,3.20+9.48i
 0.18+4.01i,5.17+3.92i
 6.13+5.80i,3.56+9.40i
 5.94+8.68i,6.70+4.63i
 6.49+1.34i,4.25+8.71i
 8.91+6.50i,2.17+0.10i
 6.54+5.25i,9.01+4.94i
 3.92+0.34i,9.70+5.46i
 1.87+1.21i,5.65+5.89i
 9.71+8.65i,1.60+1.10i
 7.75+1.09i,6.94+3.23i
 5.34+4.74i,4.14+4.94i
 4.23+8.75i,0.77+3.57i
 6.27+2.22i,5.74+1.72i
 8.39+0.39i,1.83+4.17i
 5.30+8.90i,6.06+8.96i
 0.12+8.95i,9.38+5.16i
 3.21+6.84i,2.27+5.78i
 4.60+9.72i,4.87+6.35i
 5.81+5.26i,1.94+0.30i
 2.95+2.58i,4.19+2.12i
 4.43+3.12i,7.06+6.28i
 5.93+9.26i,2.26+7.26i
 7.33+9.81i,2.96+3.92i
 0.61+0.09i,3.77+1.24i
 5.22+2.40i,0.52+8.15i
 1.80+2.92i,1.51+0.52i
 9.73+6.77i,4.17+6.26i
 4.65+2.61i,7.39+8.49i
 0.07+7.19i,4.30+3.76i
 8.25+5.81i,3.27+6.59i
 4.97+1.93i,2.25+8.29i
 8.22+3.48i,5.53+8.79i
 4.68+2.27i,4.24+4.31i
 2.77+4.06i,5.00+2.72i
 6.01+9.30i,6.98+0.77i
 5.49+2.94i,1.27+6.52i
 0.59+5.77i,6.70+1.51i
 2.24+0.84i,0.20+0.15i
 2.19+1.77i,6.95+8.95i
 6.64+6.00i,1.18+1.17i
 7.23+6.17i,7.54+5.68i
 
